[0.035s] Invoking command in '/home/diablo/diablo_ws/build/motion_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/diablo/diablo_ws/build/motion_msgs
[0.278s] [  1%] Built target motion_msgs__cpp
[0.395s] [ 12%] Built target motion_msgs__rosidl_typesupport_cpp
[0.527s] [ 23%] Built target motion_msgs__rosidl_generator_c
[0.649s] [ 35%] Built target motion_msgs__rosidl_typesupport_fastrtps_c
[0.757s] [ 46%] Built target motion_msgs__rosidl_typesupport_introspection_c
[0.856s] [ 57%] Built target motion_msgs__rosidl_typesupport_c
[0.975s] [ 69%] Built target motion_msgs__rosidl_typesupport_fastrtps_cpp
[1.096s] [ 80%] Built target motion_msgs__rosidl_typesupport_introspection_cpp
[1.181s] [ 80%] Built target motion_msgs
[1.294s] [ 80%] Built target ament_cmake_python_symlink_motion_msgs
[2.264s] running egg_info
[2.267s] writing motion_msgs.egg-info/PKG-INFO
[2.268s] writing dependency_links to motion_msgs.egg-info/dependency_links.txt
[2.269s] writing top-level names to motion_msgs.egg-info/top_level.txt
[2.279s] reading manifest file 'motion_msgs.egg-info/SOURCES.txt'
[2.283s] writing manifest file 'motion_msgs.egg-info/SOURCES.txt'
[2.405s] [ 80%] Built target ament_cmake_python_build_motion_msgs_egg
[2.501s] [ 81%] Built target motion_msgs__py
[2.617s] [ 91%] Built target motion_msgs__rosidl_generator_py
[2.717s] [ 94%] Built target motion_msgs__rosidl_typesupport_fastrtps_c__pyext
[2.819s] [ 97%] Built target motion_msgs__rosidl_typesupport_introspection_c__pyext
[2.919s] [100%] Built target motion_msgs__rosidl_typesupport_c__pyext
[2.962s] Invoked command in '/home/diablo/diablo_ws/build/motion_msgs' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/diablo/diablo_ws/build/motion_msgs
[2.972s] Invoking command in '/home/diablo/diablo_ws/build/motion_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/diablo/diablo_ws/build/motion_msgs
[3.003s] -- Install configuration: "Release"
[3.006s] -- Execute custom install script
[3.010s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/ament_index/resource_index/rosidl_interfaces/motion_msgs
[3.017s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/ctrl_plot.h
[3.019s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__functions.h
[3.021s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__struct.h
[3.022s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__type_support.h
[3.024s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__functions.h
[3.025s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__struct.h
[3.027s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__type_support.h
[3.028s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__functions.h
[3.030s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__struct.h
[3.031s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__type_support.h
[3.033s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__functions.h
[3.035s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__struct.h
[3.036s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__type_support.h
[3.038s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__functions.h
[3.039s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__struct.h
[3.041s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__type_support.h
[3.042s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__functions.h
